Date,Open,High,Low,Close,Adj Close,Volume
2021-03-15,43.849998,44.150002,43.700001,43.750000,40.830944,4640552
2021-03-16,43.750000,44.200001,43.599998,44.049999,41.110924,4103331
2021-03-17,44.000000,44.200001,43.849998,44.000000,41.064262,6073647
2021-03-18,44.200001,45.000000,44.150002,44.349998,41.390907,8379892
2021-03-19,43.950001,44.400002,43.799999,44.400002,41.437576,11012397
2021-03-22,45.799999,47.200001,44.900002,45.799999,42.744164,16189596
2021-03-23,45.799999,46.099998,45.549999,45.950001,42.884155,5928743
2021-03-24,45.700001,46.000000,45.650002,45.900002,42.837494,3509463
2021-03-25,45.799999,46.049999,45.099998,46.000000,42.930820,5658059
2021-03-26,46.700001,46.849998,46.099998,46.500000,43.397457,13963275
2021-03-29,46.650002,46.849998,46.500000,46.799999,43.677441,8239094
2021-03-30,46.849998,47.000000,46.599998,46.799999,43.677441,9117449
2021-03-31,46.849998,47.799999,46.849998,47.799999,44.610722,10536510
2021-04-01,47.799999,47.799999,47.000000,47.099998,43.957424,12690128
2021-04-07,47.049999,47.099998,46.750000,47.000000,43.864098,5877350
2021-04-08,46.799999,46.950001,46.700001,46.900002,43.770771,6663706
2021-04-09,46.900002,47.000000,46.650002,46.700001,43.584114,8796706
2021-04-12,46.700001,47.099998,46.650002,46.799999,43.677441,11373639
2021-04-13,47.000000,47.799999,46.900002,47.349998,44.190742,17938632
2021-04-14,47.400002,47.750000,47.049999,47.400002,44.237411,11909702
2021-04-15,47.400002,49.299999,47.400002,48.299999,45.077358,19366812
2021-04-16,48.299999,48.950001,48.099998,48.950001,45.683990,11429050
2021-04-19,49.400002,50.000000,49.299999,50.000000,46.663933,16627018
2021-04-20,51.099998,52.799999,50.200001,50.700001,47.317230,25338555
2021-04-21,50.700001,53.000000,50.299999,52.200001,48.717148,31400315
2021-04-22,53.099998,54.299999,51.299999,51.599998,48.157177,40785595
2021-04-23,51.000000,51.000000,49.700001,50.200001,46.850590,18504588
2021-04-26,50.000000,51.000000,49.900002,50.799999,47.410557,14052244
2021-04-27,50.900002,50.900002,50.200001,50.299999,46.943916,11484506
2021-04-28,50.299999,50.599998,49.950001,50.200001,46.850590,14005494
2021-04-29,49.950001,50.400002,49.900002,49.950001,46.617271,12240641
2021-05-03,49.750000,49.950001,49.500000,49.599998,46.290623,11802328
2021-05-04,49.599998,49.900002,48.250000,48.549999,45.310680,21240015
2021-05-05,48.549999,49.799999,48.200001,49.299999,46.010639,11106958
2021-05-06,49.549999,50.500000,49.500000,50.400002,47.037247,15001708
2021-05-07,50.500000,50.700001,49.849998,50.299999,46.943916,8245712
2021-05-10,50.500000,51.000000,50.299999,50.900002,47.503887,11955032
2021-05-11,51.099998,51.700001,49.799999,50.099998,46.757259,23695573
2021-05-12,50.099998,50.299999,47.000000,48.549999,45.310680,36448433
2021-05-13,46.799999,48.900002,46.650002,47.950001,44.750713,17359702
2021-05-14,48.500000,49.500000,48.500000,49.000000,45.730656,14688403
2021-05-17,47.849998,48.750000,47.049999,48.450001,45.217354,15027561
2021-05-18,48.500000,49.950001,48.450001,49.950001,46.617271,14429029
2021-05-19,49.200001,49.950001,49.000000,49.849998,46.523941,10434141
2021-05-20,49.799999,50.400002,49.500000,50.099998,46.757259,9604774
2021-05-21,54.000000,54.000000,50.099998,50.599998,47.223900,17124867
2021-05-24,50.000000,50.700001,49.950001,50.299999,46.943916,4933568
2021-05-25,50.400002,50.700001,50.099998,50.299999,46.943916,6925430
2021-05-26,50.299999,50.299999,49.799999,50.099998,46.757259,7271521
2021-05-27,50.000000,50.599998,49.799999,50.200001,46.850590,10893880
2021-05-28,50.799999,50.799999,49.900002,50.400002,47.037247,12348620
2021-05-31,50.599998,52.400002,50.400002,51.900002,48.437164,21470464
2021-06-01,51.900002,51.900002,51.299999,51.599998,48.157177,7260630
2021-06-02,51.599998,52.200001,51.200001,51.900002,48.437164,15177504
2021-06-03,52.400002,52.500000,51.400002,51.799999,48.343834,13102960
2021-06-04,51.900002,52.099998,51.099998,51.400002,47.970524,10387446
2021-06-07,51.599998,51.700001,50.599998,51.099998,47.690540,12151255
2021-06-08,51.299999,51.400002,50.700001,50.900002,47.503887,7337714
2021-06-09,50.900002,51.000000,50.500000,50.599998,47.223900,8770967
2021-06-10,50.700001,50.900002,50.299999,50.599998,47.223900,7501854
2021-06-11,50.700001,50.900002,50.400002,50.700001,47.317230,7716322
2021-06-15,50.900002,51.000000,50.500000,50.700001,47.317230,5889305
2021-06-16,50.700001,51.200001,50.500000,51.099998,47.690540,7190476
2021-06-17,50.799999,51.200001,50.700001,51.099998,47.690540,7201318
2021-06-18,50.799999,51.099998,50.200001,50.400002,47.037247,20784773
2021-06-21,50.299999,50.299999,49.900002,50.000000,46.663933,10174512
2021-06-22,50.000000,51.599998,50.000000,50.799999,47.410557,22294551
2021-06-23,51.099998,51.299999,50.200001,50.500000,47.130573,16418356
2021-06-24,50.400002,50.900002,50.200001,50.299999,46.943916,11587444
2021-06-25,50.400002,51.200001,50.200001,50.599998,47.223900,10367963
2021-06-28,50.700001,51.099998,50.400002,50.900002,47.503887,10331718
2021-06-29,50.900002,51.000000,50.599998,50.700001,47.317230,6726775
2021-06-30,50.900002,51.099998,50.700001,50.700001,47.317230,9236500
2021-07-01,50.700001,51.000000,50.400002,50.599998,47.223900,7044079
2021-07-02,50.900002,51.000000,50.400002,50.500000,47.130573,6597249
2021-07-05,50.900002,51.099998,50.700001,51.000000,47.597214,7400933
2021-07-06,50.900002,51.099998,50.799999,51.000000,47.597214,14200144
2021-07-07,51.000000,51.700001,50.900002,51.700001,48.250507,17574849
2021-07-08,51.900002,53.000000,51.900002,53.000000,49.463772,25354165
2021-07-09,52.599998,53.200001,52.400002,52.799999,49.277115,18572554
2021-07-12,52.900002,53.000000,52.500000,52.700001,49.183788,11930404
2021-07-13,52.799999,53.000000,52.299999,52.599998,49.090458,12404570
2021-07-14,52.400002,52.700001,52.099998,52.500000,48.997131,10447185
2021-07-15,52.500000,52.599998,51.799999,51.900002,48.437164,8251620
2021-07-16,51.900002,52.200001,51.700001,52.000000,48.530491,4775301
2021-07-19,51.799999,52.500000,51.799999,52.500000,48.997131,7105697
2021-07-20,52.000000,52.400002,51.900002,52.000000,48.530491,4632037
2021-07-21,51.900002,52.700001,51.799999,52.500000,48.997131,8715383
2021-07-22,52.500000,52.700001,52.000000,52.200001,48.717148,6159105
2021-07-23,52.400002,52.900002,52.200001,52.799999,49.277115,8967914
2021-07-26,53.200001,53.599998,53.000000,53.099998,49.557095,9141902
2021-07-27,53.299999,53.299999,52.700001,53.000000,49.463772,6837746
2021-07-28,53.099998,53.299999,51.900002,52.099998,48.623817,20806214
2021-07-29,52.299999,52.400002,51.799999,52.400002,48.903805,13043849
2021-07-30,52.099998,52.299999,51.799999,51.799999,48.343834,16710331
2021-08-02,51.500000,52.200001,51.500000,51.799999,48.343834,21478752
2021-08-03,52.000000,52.200001,51.700001,52.099998,48.623817,26313414
2021-08-04,52.299999,52.400002,51.799999,51.900002,48.437164,27975377
2021-08-05,45.599998,47.150002,45.599998,46.349998,46.349998,83851989
2021-08-06,46.500000,46.549999,46.000000,46.049999,46.049999,20201281
2021-08-09,46.049999,46.049999,45.049999,45.849998,45.849998,19743536
2021-08-10,46.000000,46.000000,45.400002,45.549999,45.549999,10302223
2021-08-11,45.500000,45.900002,45.150002,45.599998,45.599998,11806313
2021-08-12,45.799999,45.849998,45.549999,45.750000,45.750000,7899101
2021-08-13,45.799999,45.950001,45.500000,45.599998,45.599998,8630495
