Date,Open,High,Low,Close,Adj Close,Volume
2021-03-15,50.363636,51.272728,50.181816,50.454544,48.673794,44199362
2021-03-16,50.636364,50.727272,50.181816,50.363636,48.586098,18885805
2021-03-17,50.363636,50.363636,49.272728,49.545452,47.796791,32122049
2021-03-18,50.363636,50.363636,49.272728,49.454544,47.709091,22661122
2021-03-19,49.272728,49.909088,48.454544,48.818180,47.095184,50203129
2021-03-22,48.818180,49.181816,48.272728,49.000000,47.270588,19608652
2021-03-23,49.636364,50.090908,49.272728,49.545452,47.796791,27762000
2021-03-24,49.818180,50.272728,49.181816,49.454544,47.709091,24104703
2021-03-25,49.818180,50.363636,49.545452,50.272728,48.498398,32000940
2021-03-26,50.727272,51.181816,50.181816,50.454544,48.673794,31179267
2021-03-29,50.818180,51.000000,50.545452,50.818180,49.024597,21446825
2021-03-30,51.090908,51.727272,50.545452,51.636364,49.813904,39594105
2021-03-31,52.000000,52.545452,51.454544,51.636364,49.813904,44565528
2021-04-01,52.363636,52.727272,52.090908,52.545452,50.690907,42696665
2021-04-07,52.363636,52.454544,51.727272,52.272728,50.427807,26533125
2021-04-08,52.181816,52.181816,51.636364,51.727272,49.901604,21732585
2021-04-09,51.636364,51.818180,51.000000,51.272728,49.463104,24464884
2021-04-12,52.181816,53.090908,51.909088,52.727272,50.866310,35610628
2021-04-13,53.181816,53.363636,52.272728,52.545452,50.690907,38841673
2021-04-14,52.272728,52.636364,51.454544,51.909088,50.077003,26311572
2021-04-15,52.545452,54.545452,52.363636,54.545452,52.620319,69179409
2021-04-16,54.454544,54.545452,53.636364,54.545452,52.620319,34911506
2021-04-19,54.545452,56.181816,54.454544,56.181816,54.198929,43688410
2021-04-20,56.727272,57.272728,55.363636,56.181816,54.198929,34754164
2021-04-21,55.545452,56.181816,55.272728,55.818180,53.848125,30672183
2021-04-22,56.181816,56.454544,55.090908,55.545452,53.585026,43933155
2021-04-23,56.000000,56.090908,55.181816,55.727272,53.760426,20607582
2021-04-26,56.181816,58.454544,56.090908,58.272728,56.216045,47360366
2021-04-27,58.363636,59.000000,57.818180,59.000000,56.917648,26754332
2021-04-28,59.636364,60.272728,58.636364,59.181816,57.093048,32507313
2021-04-29,59.000000,59.090908,58.272728,58.363636,56.303741,28189472
2021-05-03,64.000000,64.090912,62.363636,62.545452,60.337967,114654557
2021-05-04,63.272728,63.545452,59.636364,61.272728,59.110161,76291065
2021-05-05,61.636364,64.090912,60.909088,63.181816,60.951870,59615168
2021-05-06,64.000000,64.636360,62.454544,63.272728,61.039574,43987922
2021-05-07,63.727272,64.454544,63.363636,64.363632,62.091976,34449937
2021-05-10,65.272728,70.454544,64.727272,69.636360,67.178604,85748272
2021-05-11,69.545456,71.636360,66.454544,68.000000,65.599998,105261337
2021-05-12,67.727272,67.818184,61.272728,63.636364,61.390373,155150730
2021-05-13,61.000000,64.545456,60.909088,62.363636,60.162567,76167014
2021-05-14,63.636364,64.909088,62.454544,63.272728,61.039574,50173143
2021-05-17,60.181816,62.272728,59.181816,59.636364,57.531551,70066353
2021-05-18,60.727272,65.000000,60.727272,64.909088,62.618179,71770284
2021-05-19,64.909088,65.727272,63.454544,64.181816,61.916576,41684744
2021-05-20,64.181816,64.727272,63.090908,63.818180,61.565773,30965249
2021-05-21,69.454544,69.454544,65.000000,65.454544,63.144382,62615234
2021-05-24,64.545456,65.636360,64.363632,65.454544,63.144382,23771251
2021-05-25,65.454544,66.000000,65.181816,65.363632,63.056679,26292994
2021-05-26,65.272728,65.454544,64.636360,65.090912,62.793587,16358490
2021-05-27,64.181816,65.090912,63.727272,65.090912,62.793587,59556061
2021-05-28,65.454544,65.818184,64.545456,65.454544,63.144382,29244207
2021-05-31,65.545456,66.000000,65.181816,65.727272,63.407486,23405002
2021-06-01,66.000000,66.363632,65.545456,66.363632,64.021385,16060634
2021-06-02,66.545456,67.909088,66.363632,67.727272,65.336899,27849749
2021-06-03,68.181816,68.272728,66.636360,66.909088,64.547592,29605449
2021-06-04,66.363632,66.454544,65.909088,66.272728,63.933689,15398700
2021-06-07,66.454544,66.909088,64.909088,66.545456,64.196793,18870108
2021-06-08,67.090912,67.272728,66.363632,67.000000,64.635292,11574522
2021-06-09,66.636360,66.727272,66.181816,66.272728,63.933689,10023145
2021-06-10,66.727272,67.545456,66.272728,67.090912,64.723000,18037107
2021-06-11,67.454544,67.636360,67.090912,67.090912,64.723000,16537037
2021-06-15,67.181816,67.272728,66.181816,66.363632,64.021385,17751519
2021-06-16,66.000000,66.545456,65.727272,66.000000,63.670589,19528817
2021-06-17,65.545456,65.818184,65.454544,65.727272,63.407486,13995191
2021-06-18,65.545456,65.636360,64.818184,64.818184,62.530483,33424953
2021-06-21,64.000000,64.272728,63.363636,63.636364,61.390373,45141869
2021-06-22,63.909088,64.636360,63.909088,64.272728,62.004280,22999281
2021-06-23,64.363632,65.363632,64.090912,65.272728,62.968987,19085085
2021-06-24,65.181816,65.545456,64.818184,65.363632,63.056679,9562891
2021-06-25,65.636360,66.727272,65.636360,66.272728,63.933689,20671399
2021-06-28,66.454544,67.000000,66.000000,66.545456,64.196793,14749130
2021-06-29,66.454544,66.545456,65.545456,66.000000,63.670589,19549393
2021-06-30,66.636360,67.272728,66.454544,67.181816,64.810692,24149645
2021-07-01,67.272728,67.363632,66.545456,66.727272,64.372192,14976859
